"id","nombre","fecha_genero","eliminado","codigo","marca","unidad"
29633,"Manivela de 3 brazos con orificio de 1/2""Ø sin cuerda; Volante: Dia. 6""Ø; Proyección: 2-3/16""; Eje centro: 1-3/8""Ø Proyección: 1-1/32""Ø.; Barreno: Dia. 1/2""Ø Profudidad: 7/8"". Opresor para sujeción de eje","2024-10-07",False,"GRF023","S/M","Pieza"
29634,"Tornillo Cab. Cil. Allen de 3/4""-10H-UNC","2024-10-07",False,"GRF013","S/M","Pieza"
29891,"Imanes con impresión (6x16.5cm)","2024-12-11",False,"TCN045","S/M","Pieza"
29632,"Tornillo Cab. Avellanada de 3/8""-16H-UNC X 4"" Lgo.","2024-10-07",False,"GTR011","S/M","Pieza"
25477,"Blind flange kit","2023-08-11",False,"GPT-BRIDA BLD RTJ-24",NULL,"Pieza"
26711,"Overol fr deluxe 7 100% algodon, reforzado 3 hilos, color naranja proteccion fuego y arco electrico ,astm f1506-nepa 2112 talla 36-reg","2023-08-11",False,"TEP011",NULL,"Pieza"
29643,"Lona de uso rudo impermeable, medidas 3x3 mts","2024-10-07",False,"LNRD3X3","S/M","Pieza"
29644,"Pala de aluminio para mover pintura, para galon: 2.1 x 30.5 x 0.25 cm","2024-10-07",False,"PLALUM2.1","S/M","Pieza"
29645,"Pala de madera para mover pintura, para galon: 2.4 x 30.5 x 0.5 cm","2024-10-07",False,"PLALUM2.4","S/M","Pieza"
29892,"Sello T número 441 diámetro interior 7""","2024-12-11",False,"GCN008","S/M","Pieza"
29893,"Faro de trabajo de Led 12v redondo de 27w IP67 exterior","2024-12-11",False,"THR007","S/M","Pieza"
29947,"Weldolet RTJ 600# 36"" x 8"" Ced. XS, Mat. A694 F52","2025-01-20",False,"GPC011","S/M","Pieza"
29946,"Brida WN RTJ 600# 8"" Ced. XS,  Mat. A694 F52","2025-01-20",False,"GPC013","S/M","Pieza"
